"Serial number","Northern Caves Area","Injection point","Injection point detail","NGRI","Detection point","Detection point detail","NGRD","Tracer","Quantity","Detection method","Time","Distance","Average velocity","Depth","Injection Date","People ","Reference or source","Notes"
102,"Malham","Tarn Water Sinks",,"SD89446557","Malham Cove",,"SD897641","Fluorescein",,,"168.5 hours",,,,16/05/2016,,"Gunn, J.  and  Kelly, T. 2017. Underground flow paths in the Malham karst, England. Cave and Karst Science 44:5-16, 31-42",
103,"Malham","Tarn Water Sinks",,"SD89436549","Malham Cove",,"SD897641","Lycopodium spores","4kg",,,,,,14/04/1972,,"Smith, D.I. and Atkinson, T.C. 1977. Underground flow in cavernous limestones with special reference to the Malham area. Field Studies 4:597-616",
104,"Malham","Tarn Water Sinks",,"SD89436549","Malham Cove",,"SD897641","Rhodamine","300g",,,,,,14/04/1972,,"Smith, D.I. and Atkinson, T.C. 1977. Underground flow in cavernous limestones with special reference to the Malham area. Field Studies 4:597-616",
105,"Malham","Tarn Water Sinks",,"SD89436549","Malham Cove",,"SD897641","Rhodamine","300g",,,,,,14/07/1972,,"Smith, D.I. and Atkinson, T.C. 1977. Underground flow in cavernous limestones with special reference to the Malham area. Field Studies 4:597-616",
106,"Malham","Smelt Mill Water Sink",,"SD88166598","Malham Cove",,"SD897641","Lycopodium spores","4kg",,,,,,14/04/1972,,"Smith, D.I. and Atkinson, T.C. 1977. Underground flow in cavernous limestones with special reference to the Malham area. Field Studies 4:597-616",
107,"Malham","Smelt Mill Water Sink",,"SD88166598","Malham Cove",,"SD897641","Pyranine","100g",,,,,,13/07/1973,,"Smith, D.I. and Atkinson, T.C. 1977. Underground flow in cavernous limestones with special reference to the Malham area. Field Studies 4:597-616",
108,"Malham","Gorbeck Cave",,"SD865658","Malham Cove Main Rising",,"SD897641","Dye","2lbs",,"3 days","3.62km","1.21km/d",,30/05/1975,,"Gallivan, D. 1980. Gorbeck Cave - Malham. Northern Cave Club  Journal 4:24-25",
109,"Malham","Boggle Cave",,"SD871647","Malham Cove Main Rising",,"SD897641","Fluorescein",,"Activated Charcoal","4 .5 days",,,,03/05/1996,,"https://www.yssuk.com/component/k2/malham-area-water-testing.html",
110,"Malham","K2",,"SD869637","Malham Cove Main Rising",,"SD897641","OBA",,"Cotton Wool","? 9 days",,,,03/05/1996,,"https://www.yssuk.com/component/k2/malham-area-water-testing.html",
111,"Malham","Flood Sink Watlowes Valley",,"SD892648","Malham Cove Main Rising",,"SD897641",,,,"4.5 hours",,,,22/12/1991,,"Cole, A. 2001. The origin of Cawden Burst at Malham. White Rose Pothole Club Journal 2001:35","Extreme flood"
112,"Malham","Smelt Mill Water Sink",,"SD88166597","Malham Cove Main Rising",,"SD897641","Sodium chloride","3x1 ton","Excess of Chlorine","12 days",,,,"22/6/1899",,"Howarth, J.H. et al. 1900. The Underground Waters of Northwest Yorkshire, part 1, The Sources of the River Aire. Proceedings of the Yorkshire Geological and Polytechnic Society 14 (Part 1)",
113,"Malham","Smelt Mill Water Sink",,"SD88166597","Malham Cove Main Rising",,"SD897641","Fluorescein","5lbs",,"10 days",,,,"24/6/1899",,"Howarth, J.H. et al. 1900. The Underground Waters of Northwest Yorkshire, part 1, The Sources of the River Aire. Proceedings of the Yorkshire Geological and Polytechnic Society 14 (Part 1)",
114,"Malham","Smelt Mill Water Sink",,"SD88166597","Malham Cove Main Rising",,"SD897641","Rhodamine",,,"151 hours",,,,15/05/2016,,"Gunn, J.  and  Kelly, T. 2017. Underground flow paths in the Malham karst, England. Cave and Karst Science 44:5-16, 31-42",
115,"Malham","Smelt Mill Water Sink",,"SD88166597","Malham Cove Main Rising",,"SD897641","OBA","2L",,,,,,19/02/1994,,"Gunn, J.  and  Kelly, T. 2017. Underground flow paths in the Malham karst, England. Cave and Karst Science 44:5-16, 31-42",
116,"Malham","K2",,"SD869637","Malham Cove Main Rising",,"SD897641","Lycopodium spores",,,,,,,,,"Murphy, P. 2009. Malhams missing miles of cave. Speleology 13:6-7",
117,"Malham","Gorbeck Cave",,"SD865658","Malham Cove, Aire River Passage",,"SD897641","OBA",,,,,,,15/05/2016,,"Gunn, J.  and  Kelly, T. 2017. Underground flow paths in the Malham karst, England. Cave and Karst Science 44:5-16, 31-42",
118,"Ease Gill","Link Pot","Expulsion Series","SD66858035","Link Pot","Death Row","SD66858035","Muddy water ???",,"Visual","1 hour","40m",,0,"??? JNC","John Cordingley, Graham Proudlove","CPC or NPCJ ?",
119,"Barbondale","The Churns",,"SD6663382656","Unnamed Rising 8",,"SD6637183323","Photine","500ml","Cotton wool","< 8 days","700m",,"75m","16-23/10/2005","Hugh St Lawrence","St Lawrence, H. 2009. Barbondale water tracing. Red Rose Cave and Pothole Club Journal 10:288-290 ","Good positive, 10 other risings tested all negative"
120,"Barbondale","Hazel Sike Sink",,"SD66878248","Rowell Gill Rising",,"SD67498549","Photine","800ml","Cotton wool","< 8 days","3km",,"90m","16-23/052006","Hugh St Lawrence","St Lawrence, H. 2009. Barbondale water tracing. Red Rose Cave and Pothole Club Journal 10:288-290 ","Good positive, test repeated with same result Nov 2008"
121,"Barbondale","Shale Sink (Fell House Gill)",,"SD66668288","Hanging Pot Rising",,"SD66918439","Photine","500ml","Cotton wool","< 7 days","1.5km",,"50m","15-22/05/2009","Hugh St Lawrence","St Lawrence, H. 2009. Barbondale water tracing. Red Rose Cave and Pothole Club Journal 10:288-290 ","Good positive"
122,"Chapel-le-Dale","Scar Close Cave and Keld Bank Sink",,"","Ellerkeld via S105 and P83",,"","Fluorescein","Not given","Visual to S105 and P83","No data",,,,"Not given",,"Brook, D. and Crabtree, H. 1969. 3.10 Scar Close and Keld Bank caves. ULSA Explorations Journal 1:38-42",
123,"Chapel-le-Dale","P102 (=Black Shiver Pot)",,"SD7369875428","Meregill Hole","Black Moss Passage","SD7403075730","Fluorescein","0.25lb","Not detected after 5 hours",,,,,03/06/1967,,"Brook, D. and Crabtree, H. 1969. 3.5 The Meregill System. ULSA Explorations Journal 1:31","Very dry conditions, probably slow flow"
124,"Leck Fell","Rumbling Beck Cave",,"SD672791","Rumbling Hole and Rumbling Hole inlet, Lost Johns",,"SD 67112 79115","Fluorescein","Not given","Visual","5 minutes and 2 hours",,,,01/12/1966,,"Brook, D. and Crabtree, H. 1969. 1.4 Lost John's System. ULSA Explorations Journal 1:3",
125,"Leck Fell","Lost Pot",,"SD67107840","Lost Johns Cave upstream of Lyle Cavern",,"SD6707578632","Fluorescein","Not given","Visual","4 hours",,,,01/12/1966,,"Brook, D. and Crabtree, H. 1969. 1.4 Lost John's System. ULSA Explorations Journal 1:3","Near flood conditions. Different inlets varies in intensity so multiple routes followed"
126,"Wensleydale","Whirley Gill Main Sink",,"SD974933","Crackpot Cave",,"SD964954",,,,,,,,"1959",,"NPC Journal find details",
127,"Wensleydale","Whirley Gill Main Sink",,"SD974933","Whirley Gill Pot","Green Ginger Passage","SD972935","Fluorescein","2 ounces","Visual","4 hours",,,,"May 1966",,"Brook, D. and Crabtree, H. 1969. 7.3 Whirley Gill Pot - Green Ginger Passage. University of Leeds Speleological Association Explorations Journal 1:58-59",
128,"Swaledale and Arkengarthdale","Sar Gill Head sink",,"SD879932","Cliff Force Cave",,"SD875960",,,,,"2.83km",,,12/05/1905,,"NPC Journal find details",
129,"Great Whernside","Tattersall Pasture Sink",,"SD9405466553 ","Sike Gill Rising",,"SD9743367693 ","OBA","1.0lb","Cotton wool and UV","7 days","3.22km",,"150m",07/07/1905,"Rupe Skorupka, Harry Long","Rupe Skorupka personal communication November 2020","High water"
130,"Bruntscar and Chapel-le-Dale","Ellerbeck Hole",,"SD734782","Gods Bridge Negative",,"SD732764","Photine CS","3 pints","Not detected","7 days",,,,"12/03/1983-19/03/1983","Julian Griffiths","Griffiths, J. 1984. Dye Testing in Chapel-le-Dale. Cambridge Underground 3:14-18","Water conditions low"
131,"Bruntscar and Chapel-le-Dale","Ellerbeck Hole",,"SD734782","Midge Hole Negative",,"SD737770","Photine CS","3 pints","Not detected","38 days",,,,"12/03/1983-20/04/1983","Julian Griffiths","Griffiths, J. 1984. Dye Testing in Chapel-le-Dale. Cambridge Underground 3:14-18","Water conditions low"
132,"Bruntscar and Chapel-le-Dale","Ellerbeck Hole",,"SD734782","Hurtle Pot detectors disappeared",,"SD738773","Photine CS","3 pints","Detectors disappeared",,,,,"12/03/1983-detectors disappeared","Julian Griffiths","Griffiths, J. 1984. Dye Testing in Chapel-le-Dale. Cambridge Underground 3:14-18","Water conditions low"
133,"Chapel-le-Dale","Great Douk Cave",,"SD747770","Gods Bridge",,"SD732764","Photine CS","1 gallon","Cotton wool and UV","7 days",,,,"16/04/1983-23/04/1983","Julian Griffiths","Griffiths, J. 1984. Dye Testing in Chapel-le-Dale. Cambridge Underground 3:14-18","Good flow of water"
134,"Chapel-le-Dale","Great Douk Cave",,"SD747770","Hurtle Pot Negative",,"SD738773","Photine CS","1 gallon","Not detected","7 days",,,,"16/04/1983-23/04/1983","Julian Griffiths","Griffiths, J. 1984. Dye Testing in Chapel-le-Dale. Cambridge Underground 3:14-18","Good flow of water"
135,"Chapel-le-Dale","Great Douk Cave",,"SD747770","Midge Hole Negative",,"SD737770","Photine CS","1 gallon","Not detected","14 days",,,,"16/04/1983-30/04/1983","Julian Griffiths","Griffiths, J. 1984. Dye Testing in Chapel-le-Dale. Cambridge Underground 3:14-18","Good flow of water"
136,"Chapel-le-Dale","Hawdrawkin Pot",,"SD745768","Hurtle Pot Negative",,"SD738773","Photine CS","1 gallon","Not detected","5 days",,,,"30/05/1983-04/06/1983","Julian Griffiths","Griffiths, J. 1984. Dye Testing in Chapel-le-Dale. Cambridge Underground 3:14-18","Conditions dry but heavy rain within a day"
137,"Chapel-le-Dale","Hawdrawkin Pot",,"SD745768","Joint Hole",,"SD735766","Photine CS","1 gallon","Cotton wool and UV","5 days",,,,"30/05/1983-04/06/1983","Julian Griffiths","Griffiths, J. 1984. Dye Testing in Chapel-le-Dale. Cambridge Underground 3:14-18","Conditions dry but heavy rain within a day"
138,"Chapel-le-Dale","Hawdrawkin Pot",,"SD745768","Midge Hole Negative",,"SD737770","Photine CS","1 gallon","Not detected","5 days",,,,"30/05/1983-04/06/1983","Julian Griffiths","Griffiths, J. 1984. Dye Testing in Chapel-le-Dale. Cambridge Underground 3:14-18","Conditions dry but heavy rain within a day"
139,"Chapel-le-Dale","Hawdrawkin Pot",,"SD745768","Meregill Skit Negative",,"SD734765","Photine CS","1 gallon","Not detected","5 days",,,,"30/05/1983-04/06/1983","Julian Griffiths","Griffiths, J. 1984. Dye Testing in Chapel-le-Dale. Cambridge Underground 3:14-18","Conditions dry but heavy rain within a day"
140,"Chapel-le-Dale","Hawdrawkin Pot",,"SD745768","Gods Bridge",,"SD732764","Photine CS","1 gallon","Cotton wool and UV","5 days",,,,"30/05/1983-04/06/1983","Julian Griffiths","Griffiths, J. 1984. Dye Testing in Chapel-le-Dale. Cambridge Underground 3:14-18","Conditions dry but heavy rain within a day"
141,"Chapel-le-Dale","Sunset Hole",,"SD742759","Joint Hole Negative",,"SD753766","Leucophor powder","0.5lb","Not detected","8 days",,,,"02/07/1983-10/07/1983","Julian Griffiths","Griffiths, J. 1984. Dye Testing in Chapel-le-Dale. Cambridge Underground 3:14-18",
142,"Chapel-le-Dale","Sunset Hole",,"SD742759","Gods Bridge Negative",,"SD732764","Leucophor powder","0.5lb","Not detected","8 days",,,,"02/07/1983-10/07/1983","Julian Griffiths","Griffiths, J. 1984. Dye Testing in Chapel-le-Dale. Cambridge Underground 3:14-18",
143,"Chapel-le-Dale","Sunset Hole",,"SD742759","Meregill Skit",,"SD734765","Leucophor powder","0.5lb","Cotton wool and UV","8 days",,,,"02/07/1983-10/07/1983","Julian Griffiths","Griffiths, J. 1984. Dye Testing in Chapel-le-Dale. Cambridge Underground 3:14-18",
144,"Chapel-le-Dale","Sunset Hole",,"SD742759","Roaring Hole","Lower streamway","SD742763","Leucophor powder","0.5lb","Cotton wool and UV","8 days",,,,"02/07/1983-10/07/1983","Julian Griffiths","Griffiths, J. 1984. Dye Testing in Chapel-le-Dale. Cambridge Underground 3:14-18",
145,"Chapel-le-Dale","Meregill Hole",,"SD740757","Gods Bridge",,"SD732764","Photine CS","1 gallon","Cotton wool and UV","28 days",,,,"27/08/1983-25/09/1983","Julian Griffiths","Griffiths, J. 1984. Dye Testing in Chapel-le-Dale. Cambridge Underground 3:14-18","Mere full but resurgence low"
146,"Chapel-le-Dale","Meregill Hole",,"SD740757","Joint Hole Negative",,"SD735766","Photine CS","1 gallon","Not detected","28 days",,,,"27/08/1983-25/09/1983","Julian Griffiths","Griffiths, J. 1984. Dye Testing in Chapel-le-Dale. Cambridge Underground 3:14-18","Mere full but resurgence low"
147,"Chapel-le-Dale","Meregill Hole",,"SD740757","Meregill Skit",,"SD734765","Photine CS","1 gallon","Cotton wool and UV","28 days",,,,"27/08/1983-25/09/1983","Julian Griffiths","Griffiths, J. 1984. Dye Testing in Chapel-le-Dale. Cambridge Underground 3:14-18","Mere full but resurgence low"
148,"Bruntscar and Chapel-le-Dale","Ellerbeck Hole",,"SD734782","Joint Hole",,"SD735766","Photine CS","1 gallon","Detectors not removed",,,,,04/03/1984,"Julian Griffiths","Griffiths, J. 1984. Dye Testing in Chapel-le-Dale. Cambridge Underground 3:14-18","Good flow of water during test"
149,"Bruntscar and Chapel-le-Dale","Ellerbeck Hole",,"SD734782","Hurtle Pot",,"SD738773","Photine CS","1 gallon","Cotton wool and UV","21 days",,,,"04/03/1983-25/03/1984","Julian Griffiths","Griffiths, J. 1984. Dye Testing in Chapel-le-Dale. Cambridge Underground 3:14-18","Good flow of water during test"
150,"Bruntscar and Chapel-le-Dale","Ellerbeck Hole",,"SD734782","Gods Bridge",,"SD732764","Photine CS","1 gallon","Cotton wool and UV","14 days",,,,"04/03/1984-18/03/1984","Julian Griffiths","Griffiths, J. 1984. Dye Testing in Chapel-le-Dale. Cambridge Underground 3:14-18","Good flow of water during test"
151,"Upper Wharfedale","Smegmire Pot",,"SD933764","Redmire Pot","Smegmire Inlet","SD933766","Fluorescein","1 ounce","Visual",,,,,01/07/1977,"Julian Griffiths","Griffiths, J. 1978. The Birkswood/Redmire system. Cambridge Underground 2:6-10",
152,"Ribblehead","Great Bank Gill Sink",,"SD768800","Middle Scar Cave","Rising Mirth Passage","SD770796",,,"Visual",,,,,,,"Nichols, A. and Shackleton, R. 1977.Ribblehead 1976. Cambridge Underground 2:5-15",
153,"Ribblehead","Green Slack Cave",,"SD774800","Black Reef Cave","Main Stream","SD774794","Fluorescein","3 onces","Visual",,,,,17/10/1976,,"Nichols, A. and Shackleton, R. 1977.Ribblehead 1976. Cambridge Underground 2:5-15",
154,"Ribblehead","Black Bank Sink",,"SD781804","Far Gearstones Rising",,"SD782801","Fluorescein",,"Visual",,,,,01/11/1976,,"Nichols, A. and Shackleton, R. 1977.Ribblehead 1976. Cambridge Underground 2:5-15",
155,"Stump Cross","Hell Hole",,"SE065622","West Side Springs (Trollers  Gill)",,"SE069617","Photine",,"Cotton Wool",,,,,,,"Murphy, P.J. 1998. Trollers Gill, Wharfedale, North Yorkshire.Cave and Karst Science 25:141-144",
156,"Stump Cross","Spar Pot",,"SE065615","Parceval Hall Bridge ","In Skyreholme Beck","SE068609","Photine",,"Cotton Wool",,,,,,,"Murphy, P.J. 1998. Trollers Gill, Wharfedale, North Yorkshire.Cave and Karst Science 25:141-144",
157,"Stump Cross","Jackdaw Nick Sinks",,"SE069621","West Side Springs (Trollers  Gill)",,"SE069617","Photine",,"Cotton Wool",,,,,,,"Murphy, P.J. 1998. Trollers Gill, Wharfedale, North Yorkshire.Cave and Karst Science 25:141-144",
158,"Penyghent","Hull Pot",,"SD824746","Brants Gill Head",,"SD812729","Fluorescein","10 lb","Visual","10 days",,,,07/05/1905,,"Myers, J.O. 1963. Some thoughts on Douk Gill Scar. Northern Pennine Club Journal vol2 No.3",
159,"Penyghent","Hull Pot",,"SD824746","Douk Gill Scar",,"SD816725","Fluorescein","10 lb","Visual","10 days",,,,07/05/1905,,"Myers, J.O. 1963. Some thoughts on Douk Gill Scar. Northern Pennine Club Journal vol2 No.3",
160,"Penyghent","Hunt Pot",,"SD826740","Brants Gill Head",,"SD812729",,,"Visual","9 days",,,,,,"Myers, J.O. 1963. Some thoughts on Douk Gill Scar. Northern Pennine Club Journal vol2 No.3","Via Penyghent Pot"
161,"Fountains Fell","Churn Milk Holes",,"SD836718","Brants Gill Head",,"SD812729",,,"Visual","2 days",,,,,,"Myers, J.O. 1963. Some thoughts on Douk Gill Scar. Northern Pennine Club Journal vol2 No.3",
162,"Fountains Fell","Silverdale Gill Pot",,"SD839704","Brants Gill Head",,"SD812729","Fluoroscein","Not known","Visual","2.5 days",,,,"1950s","NPC","Myers, J.O. 1963. Some thoughts on Douk Gill Scar. Northern Pennine Club Journal vol2 No.3; BPC Bulletin 5(7):2 (1970)",
163,"Fountains Fell","Rough Close Sinks",,"SD861688","Brants Gill Head",,"SD812729","Fluoroscein","Not known","Visual","4 days",,,,"1950s","NPC","BPC Bulletin 5(7):2 (1970)",
164,"Fountains Fell","Gingling Sink",,"SD856702","Brants Gill Head",,"SD812729","Fluorescein","4 lb","Visual","3 days",,,,,"Brian Heys","Cave Research Group Newsletter 32:3",
165,"Fountains Fell","Sink in front of Fornah Gill Barn",,"SD848696","Spring below Fornah Gill Barn",,"SD846695","Fluorescein",,"Visual",,,,,,,"Myers, J.O. 1957 Magnetometer Pot. Northern Pennine Club Journal Vol.2 No.1",
166,"Wensleydale","Whirley Gill Sink",,"SD974933","Oxnop Beck",,"","Fluorescein","3 lb","Visual","19 hours",,,,,,"Myers, J.O. 1963. The major undergound drainage systems in the Yoredale limestones of the Askrigg Block. Northern Pennine Club Journal 2(3)",
167,"Swaledale and Arkengarthdale","Sink at head of Sargill",,"SD879932","Cliffe Force cave",,"SD882960","Fluorescein","5 lb","Visual","48 hours",,,,05/04/1959,,"Myers, J.O. 1963. The major undergound drainage systems in the Yoredale limestones of the Askrigg Block. Northern Pennine Club Journal 2(3)",
168,"Wensleydale","Whirley Gill Sink",,"SD973933","Crackpot Cave",,"SD964954","Fluorescein","3.5 lb","Visual","1 day",,,,17/04/1959,,"Myers, J.O. 1963. The major undergound drainage systems in the Yoredale limestones of the Askrigg Block. Northern Pennine Club Journal 2(3)",
169,"Swaledale and Arkengarthdale","Sink downstream from Satron Tarn (Beezy Moor)",,"SD94239491","Oxnop Beck",,,"Fluorescein",,"Visual",,,,,"Easter 1960",,"Myers, J.O. 1963. The major undergound drainage systems in the Yoredale limestones of the Askrigg Block. Northern Pennine Club Journal 2(3)",
170,"Swaledale and Arkengarthdale","Sink ",,"SD951943","Crackpot Cave",,"SD964954","Fluorescein","3 lb","Visual","1 day",,,,21/12/1960,,"Myers, J.O. 1963. The major undergound drainage systems in the Yoredale limestones of the Askrigg Block. Northern Pennine Club Journal 2(3)",
171,"Swaledale and Arkengarthdale","shakeholes 400yds east of Cliffe Force Cave",,"","Lover Gill",,,,,"Visual",,,,,,,"Wilkinson, R. Cliffe Force. Northern Pennine Club Journal 3 No1",
172,"Swaledale and Arkengarthdale","Sink 20 feet fom scar edge Cliffe Force Cave entrance",,"SD882960","Left hand edge of Cliffe Force Cave entrance scar",,"SD882960","Rhodamine",,"Visual",,,,,,,"Wilkinson, R. Cliffe Force. Northern Pennine Club Journal 3(1)",
173,"Alston","Sink at Little Gill",,"NY779391","Priorsdale Rising",,"NY779411",,,,,,,,,,"Anon 1971. Some thoughts on the major hydrological systems and associated caves in the Yoredale limestones of the Northern Dales. Moldywarps Speleological Group Journal 4:31-36",
174,"Vale of Eden","Sink at Marne Gill",,"NY767207","Amberhill Rising",,"NY761222",,,,,,,,,,"Craven Pothole Club Journal 4:234",
175,"Swaledale and Arkengarthdale","Blacksike Foot Sink",,"NY991085","Roughton Keld",,"NY965071",,,,,,,,23/05/1905,,"Anon 1971. Some thoughts on the major hydrological systems and associated caves in the Yoredale limestones of the Northern Dales. Moldywarps Speleological Group Journal 4:31-36",
176,"","Harrisha Burn Sink",,"NY987346","Mine level at Bollihope Shield",,"NY998348",,,,,,,,,,"Anon 1971. Some thoughts on the major hydrological systems and associated caves in the Yoredale limestones of the Northern Dales. Moldywarps Speleological Group Journal 4:31-36",
177,"","Swinnergill Kirk sinks",,"NY911012","East Gill Risings",,"NY898020",,,,,,,,,,"Anon 1971. Some thoughts on the major hydrological systems and associated caves in the Yoredale limestones of the Northern Dales. Moldywarps Speleological Group Journal 4:31-36",
178,"","Botcher Gill Sink",,"","Swinner Gill in lower gorge in Main Limestone",,,"Fluorescein",,,"90 hours",,,,,,"Anon. Ends and Oddments. Moldywarps Speleological Group Journal 7:21",
179,"Weardale","Ireshope Burn Caves (Clints Caves) - local sinks",,"NY843366","Ireshope Burn Caves springs",,"NY843366","Sodium chloride","6 1b","conductivity meter","40-90 minutes","100m",,,,,"Hawkes, J.S.B. Water tracing at Ireshope Burn Caves. Moldywarps Speleologocal Group Journal No.7:28-29",
180,"Brough","Sink in N bank of River Eden, Stenkrith Caves, Kirkby Stephen",,"","Devils Grinding Mill entrance",,"NY773076","Rhodamine",,"Visual",,"60m",,,01/11/1975,,"Anon. 1976. Stenkrith Caves, Kirkby Stephen. Moldywarps Speleological Society Journal 8:42-44",
181,"Swaledale and Arkengarthdale","East Gill Cave  No.1",,"NY897020","Rising 'couple of hundred yards away'",,,"Fluorescein",,"Visual",,,,,28/05/1905,,"Anon. Some new exploratoons in the caves of the East Gill area, Keld. Moldywarps Speleological Society Journal 10:15-17",
182,"East Kingsdale","Spectacle Pot",,"SD711777","Keld Head",,"SD696766","Leucophor","1 kg","cotton wool",,,,,"late 1969",,"Checkley, D. and Gascoyne, M. 1973. Spectacle Pot Lancaster University Speleological Society 3:4-27",
183,"East Kingsdale","Large shakehole NE of Growling Hole",,"SD71267756","Growling Hole","Northern inlet Upstream Series","SD712774",,,,,,,,,"Harry Long","Long, M.H. 1968. Growling Hole-East Kingsdale. University of Leeds Speleological Association Review 4:14-18",
184,"East Kingsdale","Stream sink north of P.A.G. Pot",,"","Keld Head",,"SD696766",,,,,,,,23/05/1905,,"Long,  M.H. 1970. Dye test - East Kingsdale. British Speleological Association Bulletin New Series 4:19-20",
185,"East Kingsdale","Growling Hole",,"SD712774","Keld Head",,"SD696766","Leucophor","1 kg","Cotton Wool",,,,,,,"Gascoyne, M. 1973. Growling Hole. Lancaster University Speleological Society 3:32-36",
186,"East Kingsdale","Large sink in Growling Hole dry valley",,"SD71327747","Growling Hole","Final chamber","SD712774","Fluorescein",,"Visual","30 minutes",,,,,,"Checkley, D. and Gascoyne, M. 1973. Spectacle Pot. Lancaster University Speleological Society 3:4-27",
187,"Chapel-le-Dale","Meregill Hole",,"SD740757","Gods Bridge Risings",,"SD732764",,,,,,,,,,"Brook D & Crabtree H 1969. The explorations journal of ULSA. ",
188,"Ribblehead","Middle Scar Hole No.2",,"SD770796","Black Reef Cave ","Main Stream","SD774794","Photine",,"Cotton Wool",,,,,2015,,"Murphy, P.J. and Hodgson, D. 2016. Water tracing around Black Reef Cave, Ribblehead. Craven Pothole Club Record 124:28",
189,"Ribblehead","Small sink in shake hole",,"SD77357954","Black Reef Cave ","Inlet","SD774794","Photine",,"Cotton Wool",,,,,2015,,"Murphy, P.J. and Hodgson, D. 2016. Water tracing around Black Reef Cave, Ribblehead. Craven Pothole Club Record 124:28",
190,"Stump Cross","Mongo Gill Sink",,"SE096632","Dry Gill Rising",,"SE081633","Fluorescein","1 lb",,"approx. 20 hours",,,,08/02/1957,,"Craven Pothole Club Record No.51 p38 ""The Digger Vol.1 No.3""","Stream volume 2x normal flow"
191,"Grassington","Elbolton Pot",,"SE007615","Wharfeside Rising",,"SE016626",,,,,,,,,"UWFRA","Cordingley, J. 2010. Elbolton Pot. Craven Pothole Club Record 106:11-12",
192,"Ribblehead","Football Cave",,"SD767792","Goat Close Rising",,"SD774791",,,,,,,,,,"Cordingley, J. 2018. Hydrological Hide and Seek around Ribblehead. Craven Pothole Club Record 131:12-13",
193,"Ribblehead","Little Scar Cave",,"SD77417979","RibbleHead Cave",,"SD777797",,,,,,,,,,"Cordingley, J. 2020. Thorns Dub Rising Cave and Hydrology, Ribblehead. Craven Pothole Club Record 138:14-15",
194,"Ribblehead","Jubilee Sink",,"SD775794","Thorns Dub Rising Cave",,"SD777793",,,,,,,,,,"Cordingley, J. 2020. Thorns Dub Rising Cave and Hydrology, Ribblehead. Craven Pothole Club Record 138:14-15",
195,"Ease Gill","Bull Pot of the Witches",,"SD662813","Witches Cave","Base of shaft","SD660799",,,,"6-12 hours",,,,,,"Cordingley, J. 1989. Cave Diving Group Newsletter 92:17-18","Also positive at Leck Beck Head. Negative at Witches Cave and Leck Beck Head flood risings"
196,"Ease Gill","Lancaster Hole","Downstream sump","SD664807","Witches cave","120 along Upstream tunnel","SD660799",,,,"?11 days",,,,21/07/1997,,"Cordingley, J. 2020. Witches Cave. Cave Diving Group Newsletter 215:12","Also positive at Leck Beck Head. "
197,"Lower Littondale","Cote Gill Pot",,"SD933692","""Stream1/4 mile lower down than Sleets Gill""",,,,,,"10 hours",,,,13/05/1905,,"Morgan, J. 1966. Cote Gill Pot. Happy Wanderers Cave and Pothole Club Journal 37-38",
198,"West Kingsdale","Swinsto Hole","Stream in entrance","SD694775","Turbary Pot","Stream entering at top of big pitch","SD695775","""Red dye""",,"visual",,,,,01/10/1964,,"Myers, M. 1966. Turbary Pot. Happy Wanderers Cave and Pothole Club Journal 35-36",
199,"Dentdale and Garsdale","Robins Dub Cave",,"SD724838","Robins Dub Rising",,"SD726844","Fluorescein","75g","visual","50 minutes",,,,21/08/1993,,"Monico, P. 2015. Robins Dub Rising. Northern Pennine Club Journal 2015:53-54","Dye also seen at impenetrable rising SD72568410 after 10 minutes"
200,"Penyghent","Hunt Pot",,"SD826740","Penyghent Pot","Too Long Gone and Cholera Cannal","SD829733","OBA",,"Cotton Wool",,,,,12/06/1905,,"Monico, P. 2015. Penyghent Pot. Northern Pennine Club Journal 2015:26-31","Feint "
201,"Park Fell","Park House Rift P49",,"SD772779","Rising downstream of Otterstone Cave S84",,"","OBA","Not known","Not known","10 days",,,,10/05/2016,"Andy Hall",,
202,"Park Fell","Pint pot",,"SD774770","Shaw Pasture Field Rising",,"","OBA","Not known","Not known","7 days",,,,"14/06.2016","Andy Hall",,
203,"Park Fell","Shaw Pasture Field Rising (???)",,"","Lodge Hall Cave",,"","OBA","Not known","Not known","36 days",,,,02/07/2016,"Andy Hall",,
204,"Park Fell","Gauber pot",,"SD768781","Gauber Quarry Cave upper (string), Batty Wife Cave (weak)",,"SD766786","OBA","Not known","Not known","Not known",,,,23/08/2016,"Andy Hall",,
205,"Park Fell","Sink above road",,"SD7761178268","Rising 100m S of S84 (strong), Cow Pasture Rising (Otterstone Cave) (weak)",,"","OBA","Not known","Not known","3 days",,,,25/09/2016,"Andy Hall",,
206,"Park Fell","Sink N of track to Colt Park House",,"SD7734578071","Reyn Rising (strong), Rising 100m S of S84 (weak)",,"","OBA","Not known","Not known","6 days",,,,20/10/2016,"Andy Hall",,
207,"Park Fell","Washfold Pot",,"SD774765","Not detected. Probably too small a quantity of OBA",,"","OBA","0.5 litre","Not known",,,,,13/06/2017,"Andy Hall",,
208,"Dentdale and Garsdale","Yellow Gill sink (under bridge)",,"SD703862","Deep rising to W of lower end of Yellow Gill, Keld risings (6) vague positives",,"SD713866","Leucophor","1kg","Not known","27 days",,,,21/05/1983,"Andy Hall",,"Rainfall 77.5mm"
209,"Dentdale and Garsdale","Howgill Cave",,"SD715859","The Keld, rising in trees",,"SD71318666","Leucophor","0.5kg","Not known","7 days",,,,15/10/1983,"Andy Hall",,
