"Serial number","Northern Caves Area","Injection point","NGRI","Detection point","Detection point detail","NGRD","Tracer","Quantity","Detection method","Time","Distance","Average velocity","Depth","Date","People ","Reference or source","Notes"
109,"Malham","Boggle Cave","SD871647","Malham Cove Main Rising",,"SD897641","Fluorescein",,"Activated Charcoal","4 .5 days",,,,03/05/1996,,"https://www.yssuk.com/component/k2/malham-area-water-testing.html",
110,"Malham","K2","SD869637","Malham Cove Main Rising",,"SD897641","OBA",,"Cotton Wool","? 9 days",,,,03/05/1996,,"https://www.yssuk.com/component/k2/malham-area-water-testing.html",
111,"Malham","Flood Sink Watlowes Valley","SD892648","Malham Cove Main Rising",,"SD897641",,,,"4.5 hours",,,,22/12/1991,,"Cole, A. 2001. The origin of Cawden Burst at Malham. White Rose Pothole Club Journal 2001:35","Extreme flood"
112,"Malham","Smelt Mill Water Sink","SD88166597","Malham Cove Main Rising",,"SD897641","Sodium chloride","3x1 ton","Excess of Chlorine","12 days",,,,"22/6/1899",,"Howarth, J.H. et al. 1900. The Underground Waters of Northwest Yorkshire, part 1, The Sources of the River Aire. Proceedings of the Yorkshire Geological and Polytechnic Society 14 (Part 1)",
113,"Malham","Smelt Mill Water Sink","SD88166597","Malham Cove Main Rising",,"SD897641","Fluorescein","5lbs",,"10 days",,,,"24/6/1899",,"Howarth, J.H. et al. 1900. The Underground Waters of Northwest Yorkshire, part 1, The Sources of the River Aire. Proceedings of the Yorkshire Geological and Polytechnic Society 14 (Part 1)",
114,"Malham","Smelt Mill Water Sink","SD88166597","Malham Cove Main Rising",,"SD897641","Rhodamine",,,"151 hours",,,,15/05/2016,,"Gunn, J.  and  Kelly, T. 2017. Underground flow paths in the Malham karst, England. Cave and Karst Science 44:5-16, 31-42",
115,"Malham","Smelt Mill Water Sink","SD88166597","Malham Cove Main Rising",,"SD897641","OBA","2L",,,,,,19/02/1994,,"Gunn, J.  and  Kelly, T. 2017. Underground flow paths in the Malham karst, England. Cave and Karst Science 44:5-16, 31-42",
116,"Malham","K2","SD869637","Malham Cove Main Rising",,"SD897641","Lycopodium spores",,,,,,,,,"Murphy, P. 2009. Malhams missing miles of cave. Speleology 13:6-7",
117,"Malham","Gorbeck Cave","SD865658","Malham Cove, Aire River Passage",,"SD897641","OBA",,,,,,,15/05/2016,,"Gunn, J.  and  Kelly, T. 2017. Underground flow paths in the Malham karst, England. Cave and Karst Science 44:5-16, 31-42",
118,"Ease Gill","Link Pot, Expulsion Series","SD66858035","Link Pot, Death Row",,"SD66858035","Muddy water ???",,"Visual","1 hour","40m",,0,"??? JNC","JNC and GSP","CPC or NPCJ ?",
119,"Barbondale","The Churns","SD6663382656","Unnamed Rising 8",,"SD6637183323","No published details",,"No published details","< 8 days","700m",,"75m","16-23/10/2005","Hugh St Lawrence","St Lawrence, H. 2009. Barbondale water tracing. Red Rose Cave and Pothole Club Journal 10:288-290 ",
120,"Barbondale","Hazel Sike Sink","SD66878248","Rowell Gill Rising",,"SD67498549","No published details",,"No published details","< 8 days","3km",,"90m","16-23/052006","Hugh St Lawrence","St Lawrence, H. 2009. Barbondale water tracing. Red Rose Cave and Pothole Club Journal 10:288-290 ",
121,"Barbondale","Shale Sink (Fell House Gill)","SD66668288","Hanging Pot Rising",,"SD66918439","No published details",,"No published details","< 7 days","1.5km",,"50m","15-22/05/2009","Hugh St Lawrence","St Lawrence, H. 2009. Barbondale water tracing. Red Rose Cave and Pothole Club Journal 10:288-290 ",
122,"Chapel-le-Dale","Scar Close Cave and Keld Bank Sink",,"Ellerkeld via S105 and P83",,,"Fluorescein","Not given","Visual to S105 and P83","No data",,,,"Not given",,"Brook, D. and Crabtree, H. 1969. 3.10 Scar Close and Keld Bank caves. ULSA Explorations Journal 1:38-42",
123,"Chapel-le-Dale","P102 (=Black Shiver Pot)","SD7369875428","Meregill Hole, Black Moss Passage",,"SD7403075730","Fluorescein","0.25lb","Not detected after 5 hours",,,,,03/06/1967,,"Brook, D. and Crabtree, H. 1969. 3.5 The Meregill System. ULSA Explorations Journal 1:31","Very dry conditions, probably slow flow"
124,"Leck Fell","Rumbling Beck Cave","SD672791","Rumbling Hole and Rumbling Hole inlet, Lost Johns",,"SD 67112 79115","Fluorescein","Not given","Visual","5 minutes and 2 hours",,,,01/12/1966,,"Brook, D. and Crabtree, H. 1969. 1.4 Lost John's System. ULSA Explorations Journal 1:3",
125,"Leck Fell","Lost Pot","SD67107840","Lost Johns Cave upstream of Lyle Cavern",,"SD6707578632","Fluorescein","Not given","Visual","4 hours",,,,01/12/1966,,"Brook, D. and Crabtree, H. 1969. 1.4 Lost John's System. ULSA Explorations Journal 1:3","Near flood conditions. Different inlets varies in intensity so multiple routes followed"
126,"Swaledale and Arkengarthdale","Whirley Gill Main Sink","SD974933","Crackpot Cave",,"SD964954",,,,,,,,"1959",,"NPC Journal find details",
127,"Swaledale and Arkengarthdale","Whirley Gill Main Sink","SD974933","Whirley Gill Pot",,"SD972935","Fluorescein","2 ounces","Visual","4 hours",,,,1966,,"Brook, D. and Crabtree, H. 1969. 7.3 Whirley Gill Pot - Green Ginger Passage. University of Leeds Speleological Association Explorations Journal 1:58-59",
128,"Swaledale and Arkengarthdale","Sar Gill Head sink","SD879932","Cliff Force Cave",,"SD875960",,,,,"2.83km",,,"1959",,"NPC Journal find details",
129,"Great Whernside","Tattersall Pasture Sink","SD9405466553 ","Sike Gill Rising",,"SD9743367693 ","OBA","1.0lb","Cotton wool and UV","7 days","3.22km",,"150m",2015,"Rupe Skorupka, Harry Long","Rupe Skorupka personal communication November 2020","High water"
